"run","random_seed","tick","MeatMean"
1,442103416,1.0,0.6
1,442103416,11.0,0.5333333333333333
1,442103416,21.0,0.46666666666666684
1,442103416,31.0,0.6000000000000001
1,442103416,41.0,0.43333333333333346
1,442103416,51.0,0.6
1,442103416,61.0,0.5666666666666667
1,442103416,71.0,0.4666666666666666
1,442103416,81.0,0.5
1,442103416,91.0,0.5666666666666667
1,442103416,101.0,0.6000000000000001
1,442103416,111.0,0.4666666666666666
1,442103416,121.0,0.5333333333333333
1,442103416,131.0,0.6333333333333334
1,442103416,141.0,0.5666666666666668
1,442103416,151.0,0.5666666666666667
1,442103416,161.0,0.6
1,442103416,171.0,0.5333333333333332
1,442103416,181.0,0.5333333333333334
1,442103416,191.0,0.4666666666666667
1,442103416,201.0,0.43333333333333335
1,442103416,211.0,0.7333333333333333
1,442103416,221.0,0.5666666666666668
1,442103416,231.0,0.4000000000000001
1,442103416,241.0,0.5666666666666668
1,442103416,251.0,0.5333333333333333
1,442103416,261.0,0.4333333333333334
1,442103416,271.0,0.4666666666666666
1,442103416,281.0,0.43333333333333346
1,442103416,291.0,0.7
1,442103416,301.0,0.6666666666666665
1,442103416,311.0,0.33333333333333326
1,442103416,321.0,0.5333333333333333
1,442103416,331.0,0.49999999999999994
1,442103416,341.0,0.6
1,442103416,351.0,0.5333333333333332
1,442103416,361.0,0.4666666666666666
1,442103416,371.0,0.4666666666666667
1,442103416,381.0,0.6
1,442103416,391.0,0.5333333333333333
1,442103416,401.0,0.46666666666666673
1,442103416,411.0,0.6333333333333334
1,442103416,421.0,0.4666666666666666
1,442103416,431.0,0.5
1,442103416,441.0,0.5333333333333333
1,442103416,451.0,0.5666666666666667
1,442103416,461.0,0.36666666666666664
1,442103416,471.0,0.4
1,442103416,481.0,0.3666666666666667
1,442103416,491.0,0.5666666666666669
