"run","random_seed","tick","MeatNeedMean (MNM)","VegNeedMean (VNM) "
1,442545240,1.0,4.599507719485352,1.5672151896014859
1,442545240,11.0,3.8276388347414083,1.3472806115818377
1,442545240,21.0,3.57039958988978,1.2659580564742012
1,442545240,31.0,3.416781125443755,1.1465091478107632
1,442545240,41.0,3.261251402165997,1.1117129532422456
1,442545240,51.0,3.1374224212263444,1.0819298261114074
1,442545240,61.0,3.063954961326261,1.0432710953630466
1,442545240,71.0,3.4192557013203824,1.062171683611403
1,442545240,81.0,4.028359594405525,1.077231902629386
1,442545240,91.0,3.8361399911423177,1.0623129780352631
1,442545240,101.0,3.671705711722372,1.053161136006621
1,442545240,111.0,3.508844279756707,1.054883659147713
1,442545240,121.0,3.429100546709378,1.0256115025598462
1,442545240,131.0,3.9702746742203705,1.0553967537369442
1,442545240,141.0,3.808129256928862,1.0566712585175564
1,442545240,151.0,3.678505405214781,1.0660125094307702
1,442545240,161.0,3.612992422401069,1.070104764314568
1,442545240,171.0,3.58079832699719,1.0918736675772067
1,442545240,181.0,4.137958506058939,1.1346088097800848
1,442545240,191.0,4.914485773618575,1.2261958331679714
1,442545240,201.0,5.065848733131348,1.3287927003998699
1,442545240,211.0,5.078377422306882,1.5752642508982189
1,442545240,221.0,5.123367886936712,2.6992650770869067
1,442545240,231.0,5.203628557496907,4.429852958647351
1,442545240,241.0,5.271109305072321,4.477956960219711
1,442545240,251.0,5.387275870952945,4.454922791346075
1,442545240,261.0,5.362764914562885,4.510480256355063
1,442545240,271.0,5.408392800362034,4.497676802762009
1,442545240,281.0,5.575292722226582,4.526092033917398
1,442545240,291.0,5.636561870702974,4.535856182701306
1,442545240,301.0,5.891139655844211,4.525316458175781
1,442545240,311.0,6.108110412161424,4.528517856760181
1,442545240,321.0,6.0806021771135494,4.579150551639354
1,442545240,331.0,6.1701591403882965,4.645176224849159
1,442545240,341.0,6.360991907375957,4.7078351740294275
1,442545240,351.0,6.360541885598854,4.882403066796096
1,442545240,361.0,6.718959706814837,5.146739326684091
1,442545240,371.0,7.204379036226363,5.057622853951963
1,442545240,381.0,7.8187049545384095,5.200728468488141
1,442545240,391.0,7.6897721034372895,5.894801021579988
1,442545240,401.0,9.414987748201892,5.960224286879114
1,442545240,411.0,9.594864474855852,8.127965441694084
1,442545240,421.0,9.595234752471082,8.196315492293227
1,442545240,431.0,9.89437900255261,8.255057421567036
1,442545240,441.0,10.783754629947307,8.441747363910757
1,442545240,451.0,10.828983743051756,8.46310433514379
1,442545240,461.0,11.295978512545192,9.309910422133322
1,442545240,471.0,11.213713167321947,9.45543348219467
1,442545240,481.0,13.130774452261758,9.424474624455002
1,442545240,491.0,13.260311237497882,11.760662841267516
1,442545240,500.0,15.440845949680273,12.03959099213947
