"run","random_seed","tick","MeatMean","HabitualMean"
1,1,1.0,0.36666666666666664,0.0
1,1,11.0,0.4,0.06666666666666667
1,1,21.0,0.4333333333333334,0.30000000000000004
1,1,31.0,0.5666666666666669,0.10000000000000002
1,1,41.0,0.5333333333333333,0.2
1,1,51.0,0.4666666666666667,0.2333333333333333
1,1,61.0,0.5666666666666665,0.13333333333333333
1,1,71.0,0.4333333333333333,0.03333333333333335
1,1,81.0,0.5666666666666668,0.1
1,1,91.0,0.5333333333333333,0.16666666666666669
1,1,101.0,0.6333333333333333,0.1666666666666667
1,1,111.0,0.5666666666666667,0.16666666666666669
1,1,121.0,0.43333333333333335,0.13333333333333333
1,1,131.0,0.4333333333333334,0.1
1,1,141.0,0.4666666666666667,0.13333333333333333
1,1,151.0,0.5666666666666668,0.13333333333333333
1,1,161.0,0.46666666666666673,0.19999999999999998
1,1,171.0,0.4666666666666667,0.13333333333333333
1,1,181.0,0.5,0.2
1,1,191.0,0.4,0.13333333333333336
1,1,201.0,0.5000000000000001,0.2333333333333334
1,1,211.0,0.4666666666666666,0.1
1,1,221.0,0.36666666666666664,0.16666666666666666
1,1,231.0,0.5,0.16666666666666666
1,1,241.0,0.5333333333333333,0.16666666666666666
1,1,251.0,0.33333333333333337,0.06666666666666667
1,1,261.0,0.5666666666666668,0.13333333333333336
1,1,271.0,0.6000000000000001,0.03333333333333335
1,1,281.0,0.43333333333333324,0.16666666666666666
1,1,291.0,0.5333333333333333,0.2
1,1,301.0,0.4666666666666667,0.2333333333333334
1,1,311.0,0.4666666666666667,0.16666666666666669
1,1,321.0,0.5333333333333333,0.1
1,1,331.0,0.5,0.1
1,1,341.0,0.39999999999999997,0.1
1,1,351.0,0.4,0.13333333333333333
1,1,361.0,0.6000000000000001,0.2
1,1,371.0,0.3666666666666667,0.2
1,1,381.0,0.4666666666666667,0.2666666666666667
1,1,391.0,0.33333333333333337,0.13333333333333333
1,1,401.0,0.5333333333333333,0.2
1,1,411.0,0.6333333333333334,0.13333333333333333
1,1,421.0,0.3333333333333333,0.16666666666666669
1,1,431.0,0.43333333333333335,0.16666666666666669
1,1,441.0,0.7000000000000003,0.1
