"run","random_seed","tick","MeatMean"
1,1,1.0,0.5666666666666667
1,1,11.0,0.5333333333333334
1,1,21.0,0.6333333333333334
1,1,31.0,0.5333333333333334
1,1,41.0,0.3666666666666667
1,1,51.0,0.4666666666666666
1,1,61.0,0.5666666666666668
1,1,71.0,0.4333333333333333
1,1,81.0,0.43333333333333335
1,1,91.0,0.6999999999999998
1,1,101.0,0.4333333333333334
1,1,111.0,0.4333333333333333
1,1,121.0,0.5333333333333333
1,1,131.0,0.5333333333333333
1,1,141.0,0.4
1,1,151.0,0.5666666666666668
1,1,161.0,0.5333333333333333
1,1,171.0,0.5000000000000001
1,1,181.0,0.6333333333333333
1,1,191.0,0.3
1,1,201.0,0.5333333333333333
1,1,211.0,0.6000000000000001
1,1,221.0,0.6333333333333333
1,1,231.0,0.6000000000000001
1,1,241.0,0.4666666666666667
1,1,251.0,0.4
1,1,261.0,0.3666666666666667
1,1,271.0,0.6
1,1,281.0,0.36666666666666664
1,1,291.0,0.5333333333333333
1,1,301.0,0.4666666666666667
1,1,311.0,0.4333333333333333
1,1,321.0,0.6
1,1,331.0,0.4
1,1,341.0,0.4666666666666666
1,1,351.0,0.39999999999999997
1,1,361.0,0.4
1,1,371.0,0.6000000000000002
1,1,381.0,0.6333333333333333
1,1,391.0,0.4666666666666667
1,1,401.0,0.5333333333333333
1,1,411.0,0.3666666666666667
1,1,421.0,0.49999999999999994
1,1,431.0,0.6333333333333333
1,1,441.0,0.7333333333333333
1,1,451.0,0.4333333333333333
1,1,461.0,0.43333333333333335
1,1,471.0,0.5333333333333333
1,1,481.0,0.6
1,1,491.0,0.3
3,3,1.0,0.4333333333333333
3,3,11.0,0.4333333333333333
3,3,21.0,0.43333333333333324
3,3,31.0,0.4666666666666667
3,3,41.0,0.4
3,3,51.0,0.5666666666666668
3,3,61.0,0.43333333333333335
3,3,71.0,0.5666666666666667
3,3,81.0,0.6333333333333334
3,3,91.0,0.6333333333333334
3,3,101.0,0.5666666666666669
3,3,111.0,0.6333333333333333
3,3,121.0,0.5666666666666667
3,3,131.0,0.46666666666666673
3,3,141.0,0.5666666666666667
3,3,151.0,0.39999999999999997
3,3,161.0,0.6
3,3,171.0,0.5333333333333334
3,3,181.0,0.6000000000000001
3,3,191.0,0.5000000000000001
3,3,201.0,0.3333333333333334
3,3,211.0,0.6333333333333334
