"run","random_seed","tick","MeatNeedMean (MNM)","VegNeedMean (VNM) "
1,1,1.0,1.9309942730464476,1.493245021799905
1,1,11.0,1.6469376657332564,1.329312690845048
1,1,21.0,1.1871593925334107,1.8428635601541492
1,1,31.0,1.518019999380468,1.4304761537322506
1,1,41.0,1.5246727578628474,1.1992002031657667
1,1,51.0,1.8497706997727257,1.1726236212267043
1,1,61.0,1.6130687319436916,1.209754350718716
1,1,71.0,1.5586011078367048,1.8842812592018356
1,1,81.0,1.5373436271737893,1.5921127386451492
1,1,91.0,1.1333235510597062,1.2186171547020188
1,1,101.0,1.1170865961228411,2.0835874880146426
1,1,111.0,1.5447273341480596,1.1326577829873665
1,1,121.0,1.1913486464883238,1.2233469504811887
1,1,131.0,1.4213102044212156,1.138228089198754
1,1,141.0,1.6667852794196318,1.2686637249485602
1,1,151.0,1.3772255905458632,2.660557052470322
1,1,161.0,1.9036095996640325,1.7884472952330157
1,1,171.0,1.1919572790138124,1.1050757185625952
1,1,181.0,1.4025869838116574,1.1682491825750219
1,1,191.0,1.2320745790991163,1.2134255025129552
1,1,201.0,1.430751516163526,1.2210024394031975
1,1,211.0,1.1351227234096282,1.3454647216056137
1,1,221.0,1.2541038245016338,1.257149729565137
1,1,231.0,1.0716020929409378,1.1634612332327319
1,1,241.0,1.0528882438765859,1.1239925349269175
1,1,251.0,1.3118586550253382,1.1952829793426436
1,1,261.0,1.3398874570427888,1.2017710014164535
1,1,271.0,1.2573433734910866,1.5138660318332013
1,1,281.0,1.5110363438001426,1.095051542857314
1,1,291.0,1.3421947252106903,1.305297878854626
1,1,301.0,1.6607130494528017,1.066387200206991
1,1,311.0,1.6232255926785208,1.1091433606210377
1,1,321.0,1.1653441790700718,1.085093157764355
1,1,331.0,2.2144086882639753,1.3038989981068398
1,1,341.0,1.389512299968485,1.0529161691855495
1,1,351.0,1.6609816243613167,1.0628382404279333
1,1,361.0,1.023086316440864,1.2570768359322528
1,1,371.0,0.9011295458836842,1.6568677295403245
1,1,381.0,1.4076688650664566,1.1073597944620857
1,1,391.0,1.1331531428839217,1.1154506572720848
1,1,401.0,1.2515574803120568,1.6954364869444767
1,1,411.0,0.9819751028833547,1.9879964993550239
1,1,421.0,1.3051652848548745,2.2050515654930933
1,1,431.0,0.9869903450218344,1.7166077056787508
1,1,441.0,2.0229712509624025,1.1814380219997294
1,1,451.0,1.2755108739674137,1.0458448165118952
1,1,461.0,1.1967421614828222,1.8452079258953777
1,1,471.0,1.15646795916881,1.2227793073824125
1,1,481.0,1.174627998106789,1.0339451038384435
1,1,491.0,1.1718598896033119,1.104937191474155
1,1,500.0,1.017096371057043,1.0569920870809322
5,5,1.0,3.2706972305732713,1.381090199888791
5,5,11.0,1.604940465566941,2.489179481143487
5,5,21.0,1.2043212527412361,2.1542818513625
5,5,31.0,1.3324094308399799,1.2448004943850384
5,5,41.0,1.297782005642412,1.1693882427172702
5,5,51.0,1.0732775741603442,3.0592537885052007
