"run","isIntentional","HABIT_THRESHOLD_ABSOLUTE","eater1Count","OPENNESS_AVG_STRENGTH","isEvaluated","SELFE_AVG_STRENGTH","selfEbeta","CONSERVATION_AVG_STRENGTH","selfTk","SELFT_AVG_STRENGTH","vegetarianVenueCount","mixedVenueCount","diningOutPercent","weightVegEatingAction","filterOnAffordances","selfTbeta","isUpdatedPHistory","selfEk","randomSeed","filterOnHabits","OUTSIDE_CONTEXT","endTime","HABIT_THRESHOLD_RELATIVE","weightMeatEatingAction","meatVenueCount"
1,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,1,"true",0.25,4000.0,0.7,1.0,1
3,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,3,"true",0.25,4000.0,0.7,1.0,1
5,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,5,"true",0.25,4000.0,0.7,1.0,1
7,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,7,"true",0.25,4000.0,0.7,1.0,1
9,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,9,"true",0.25,4000.0,0.7,1.0,1
11,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,11,"true",0.25,4000.0,0.7,1.0,1
13,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,13,"true",0.25,4000.0,0.7,1.0,1
15,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,15,"true",0.25,4000.0,0.7,1.0,1
17,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,17,"true",0.25,4000.0,0.7,1.0,1
19,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,19,"true",0.25,4000.0,0.7,1.0,1
21,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,21,"true",0.25,4000.0,0.7,1.0,1
23,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,23,"true",0.25,4000.0,0.7,1.0,1
25,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,25,"true",0.25,4000.0,0.7,1.0,1
27,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,27,"true",0.25,4000.0,0.7,1.0,1
29,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,29,"true",0.25,4000.0,0.7,1.0,1
2,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,2,"true",0.25,4000.0,0.7,1.0,1
4,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,4,"true",0.25,4000.0,0.7,1.0,1
6,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,6,"true",0.25,4000.0,0.7,1.0,1
