"tick","ID","dataNeedSelfEnhancement","dataNeedSelfTranscendence","random_seed","dataThresholdSelfEnhancement","dataThresholdSelfTranscendence","dataSatisfactionSelfEnhancement","dataSatisfactionSelfTranscendence"
1.0,26,7.62967098650626,0.7202364822495426,1032521432,0.7755711886566132,0.08179630036465824,0.10165198342474777,0.1135686713746861
1.0,16,0.6862372938316585,0.8975380610748124,1032521432,0.5427948897704482,0.18202740931883454,0.7909725901658758,0.2028074543165942
1.0,3,0.5796612567581029,3.19995435611055,1032521432,0.28059889981523156,0.0780811293516308,0.48407392514819675,0.024400700967040077
1.0,29,0.6843687111829069,0.5269532328297396,1032521432,0.2233431707136333,0.6137632802128792,0.3263491843856985,1.164739566957336
1.0,14,1.64205640969147,0.6551199109927905,1032521432,0.9126500289421529,0.42932998458854854,0.5557970015863419,0.6553456510548238
1.0,18,0.5853010459875668,0.5794325418021061,1032521432,0.3766015749424696,0.6083237105049193,0.6434322602431664,1.0498611427880078
1.0,5,3.3025320153683424,0.5981073778389805,1032521432,0.033025320153683424,0.42983309645205736,0.01,0.7186553993115512
1.0,19,1.4482907240382075,3.3209249678189647,1032521432,0.9952663772273809,0.9852045110892504,0.6872006847163407,0.29666569423767764
1.0,12,2.4666480324110243,1.5305282841046501,1032521432,0.16136949555948377,0.7190728918649256,0.06542055998226598,0.46982006104224266
1.0,13,6.2632603511702,0.7599481746214287,1032521432,0.8090581509750336,0.13376098941080272,0.12917523871155584,0.1760133044301821
1.0,20,0.7289801376253886,1.0010257706890662,1032521432,0.4854872098658234,0.9249597173184156,0.6659813962109727,0.9240118930022254
1.0,6,0.97000550452822,0.5168588127229437,1032521432,0.6854434062261134,0.4442038726992905,0.7066386768181191,0.8594298128711622
1.0,0,1.1333235946688118,0.8543712162394652,1032521432,0.1609273524954915,0.9972956846468151,0.14199594295265588,1.1672861464556767
1.0,7,0.5338817979741117,0.849724886668139,1032521432,0.8063795974012464,0.061973704025149345,1.5104084845393966,0.0729338459982675
1.0,11,0.6040418578317721,1.1553985564547697,1032521432,0.5749016113113612,0.7388001061044633,0.9517579019688953,0.6394331219967948
1.0,2,1.5310826291693398,1.4509271430792805,1032521432,0.9568520439788699,0.250101525336504,0.6249512767955522,0.1723735933464704
1.0,28,1.026137274938398,0.6054665827276837,1032521432,0.43392417347058654,0.6543133391533047,0.42287146570777906,1.0806762219734105
1.0,22,4.735170074573046,4.4422894932357995,1032521432,0.4675880305003375,0.44839372322894633,0.09874788511001864,0.10093752870264489
1.0,27,1.3105512452659593,1.1655471201392744,1032521432,0.8928854910191149,0.07096159202046692,0.6813052860347444,0.06088264540689486
1.0,15,0.8457594621505722,1.6045559061960544,1032521432,0.7366465437225997,0.46380066219717264,0.8709882380144783,0.2890523542409389
1.0,1,1.6955423787795045,26.812646457238657,1032521432,0.7549992208369076,0.13333997526206076,0.44528478337437705,0.004973025526395315
1.0,23,0.5522998167499267,6.783082772404056,1032521432,0.5916082530748099,0.9175269030965865,1.0711722784124724,0.13526694777032733
1.0,17,1.4165715115536983,0.5576308921342927,1032521432,0.9070724230259657,0.6838539631571621,0.6403294261022424,1.2263559512274498
1.0,8,1.1285399785265326,0.5283930811932835,1032521432,0.011285399785265326,0.8153014641720802,0.01,1.5429828534674679
1.0,21,0.7173702315825295,0.19006607413025764,1032521432,0.4643554841168225,0.013691617641597986,0.6473024160654774,0.07203609431220605
1.0,9,0.5484921436810896,0.7165910084520771,1032521432,0.1144932177849114,0.9355939249508083,0.20874176431500782,1.305617728823871
