"tick","ID","dataNeedSelfEnhancement","dataNeedSelfTranscendence"
1.0,4,1.397920887748789,0.8729609189303847
1.0,25,0.6985517498468048,0.3086904804072737
1.0,11,0.5944833285832162,0.6053521587742478
1.0,26,0.5875873117065326,0.2874614294813884
1.0,7,0.5946983728274804,0.9819648690454504
1.0,18,1.0573476332334248,0.5962807235085699
1.0,21,0.7335305012878027,0.6369632336283332
1.0,3,0.7389801761713041,0.6773135152705003
1.0,10,0.6471425376209881,0.6220883166419604
1.0,16,1.0440394265736832,1.0288586694099395
1.0,17,1.5799339861884782,0.5215525703290885
1.0,22,1.8617589035333793,0.6534708987243911
1.0,20,0.6525842377688511,5.121190283040637
1.0,23,2.8255460317515975,1.695291451676137
1.0,28,3.9025866478748403,3.6754098521024012
1.0,9,2.6781534496785344,2.3580317583000188
1.0,12,1.1200687772203108,0.4851322900454608
1.0,27,2.4045721613213815,5.672085977191991
1.0,6,3.9337621844810897,0.7367660687979066
1.0,8,0.7129538462386039,4.627370277229049
1.0,1,0.9202058185495081,0.5906557896422896
1.0,5,4.155139639523247,1.0595310355228569
1.0,24,1.2919310244114206,3.4538145310508037
1.0,2,0.6271827498194342,0.7449270969001618
1.0,29,14.073140981470383,1.4817192100383383
1.0,13,0.6624181343183269,0.5981351210485674
1.0,15,0.9858447749404293,1.566281216004381
1.0,19,1.4040671139471177,0.8203553296156604
1.0,14,0.6157995613062102,0.7283073871818361
1.0,0,1.2556951452671055,2.260310301218628
2.0,4,1.3872701403735541,1.0521140860346636
2.0,25,0.6857847692958018,1.0872959459894618
2.0,11,0.5964259102460144,0.5515325525772079
2.0,26,0.5858339867473479,1.8220942298823704
2.0,7,0.5966983969427309,0.8835422471846197
2.0,18,1.0356165129022277,0.6354777900158761
2.0,21,0.7296071620564653,0.6595188619803012
2.0,3,0.7424822094289653,0.5991746016423732
2.0,10,0.6429655360051224,0.7892211529642822
2.0,16,1.05243450496199,0.9691575288233073
2.0,17,1.55167409257853,0.5433292286563576
2.0,22,1.8403212329466996,30.18081740141795
2.0,20,0.6648882093882849,2.7734185588613314
2.0,23,2.5764337958442876,2.1646995252036505
2.0,28,4.043102274869112,2.564341128644822
2.0,9,2.7368173088823804,1.9317060860373494
2.0,12,1.110117379882529,1.3896938061377597
2.0,27,2.372511282586791,14.289029361966524
2.0,6,3.8523576608489147,0.7756669458507719
2.0,8,0.7158733426628912,3.6008669571216427
2.0,1,0.6649128265687367,0.6113507478991781
2.0,5,3.389543989996971,1.150445892777468
2.0,24,1.3427424230651197,2.809553983762449
2.0,2,0.6356214360177571,0.5361153300858712
2.0,29,11.813279761630259,1.6049505182313577
2.0,13,0.6392769224090016,0.6387287656633613
2.0,15,1.010023832839712,1.3293540436744635
2.0,19,1.434313054976723,0.7055550083305538
2.0,14,0.6177108657729115,0.702067561211004
2.0,0,1.2652816024785913,1.4143330840321842
3.0,4,1.376780461724712,1.3237881487300258
3.0,25,0.6734760806058848,2.153584221377969
3.0,11,0.5983812290025443,0.5065013992998122
3.0,26,0.5875873117065326,0.2874614294813884
3.0,7,0.5946983728274804,0.9819648690454504
3.0,18,1.0147606606444477,0.6801907606552422
3.0,21,0.7257255680568384,0.6837305778089964
3.0,3,0.7389801761713041,0.6773135152705003
3.0,10,0.6471425376209881,0.6220883166419604
3.0,16,1.0440394265736832,1.0288586694099395
3.0,17,1.5244073896489811,0.5670036288976102
3.0,22,1.8617589035333793,0.6534708987243911
3.0,20,0.6525842377688511,5.1211902830406375
3.0,23,2.8255460317515975,1.695291451676137
3.0,28,3.9025866478748403,3.6754098521024012
3.0,9,2.7981087398003512,1.635933752103435
3.0,12,1.1003412542986575,3.7234840681776404
3.0,27,2.4045721613213815,5.672085977191991
3.0,6,3.9337621844810897,0.7367660687979066
